id,Game ID,Wk,Day,Date,Time,Home,xG Home,G Home,Away,xG Away,G Away,League,Season,Score,Match Link,home_elo,away_elo,B365H,B365D,B365A,xScore,xScoreElo,Home Avg Players Score,Away Avg Players Score,Home Star Player Count,Away Star Player Count,Players Found %,xPower,xSuperPower,importance1,importance2,proj_score1,proj_score2,spi1,spi2,prob1,prob2,probtie,Home Points,Away Points,xG Home Diff,xG Away Diff,Home Avg Points,Away Avg Points,Home Avg Goals For,Away Avg Goals For,Home Avg Goals Against,Away Avg Goals Against,Home Matches Played,Away Matches Played,Home Points/Match,Away Points/Match,Home Form Points,Away Form Points,Home Form Goals For,Away Form Goals For,Home Form Goals Against,Away Form Goals Against,Home Head-to-Head Points,Away Head-to-Head Points,Home Head-to-Head Goals For,Away Head-to-Head Goals For,Home Head-to-Head Goals Against,Away Head-to-Head Goals Against,xG Home Avg Diff,xG Home Form Diff,xG Away Avg Diff,xG Away Form Diff
7425,9427443509,1.0,Fri,2019-08-16,20:30,Bayern Munich,2.5,2,Hertha BSC,1.1,2,Bundesliga,2019-2020,0,https://fbref.com/en/matches/64c6b172/Bayern-Munich-Hertha-BSC-August-16-2019-Bundesliga,1947.91,1640.58,1.14,8.0,15.0,1,1,85.71,75.5,4,0,0.93,1,1,66.0,26.0,3.09,0.39,93.98,66.45,0.8893,0.0249,0.0858,1,1,-0.5,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5710,8507964079,2.0,Fri,2019-08-16,20:45,Lyon,1.1,6,Angers,0.4,0,Ligue-1,2019-2020,1,https://fbref.com/en/matches/7e480f83/Lyon-Angers-August-16-2019-Ligue-1,1741.73,1570.63,1.5,4.33,6.0,1,1,79.22,73.36,1,0,0.89,0,1,69.1,34.6,2.13,0.9,74.82,60.92,0.6483,0.1465,0.2052,3,0,4.9,-0.4,3.0,3.0,3.0,3.0,0.0,1.0,1,1,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,2.2,1.4,1.4
3800,6106823319,1.0,Fri,2019-08-16,21:00,Athletic Club,0.5,1,Barcelona,0.9,0,La-Liga,2019-2020,1,https://fbref.com/en/matches/5dc61284/Athletic-Club-Barcelona-August-16-2019-La-Liga,1722.02,2001.23,5.25,3.8,1.65,-1,-1,77.14,87.02,0,6,0.89,0,-1,35.6,71.4,1.05,2.02,73.34,91.18,0.1873,0.5939,0.2188,3,0,0.5,-0.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,5299214051,2.0,Sat,2019-08-17,12:30,Arsenal,0.8,2,Burnley,1.5,1,Premier-League,2019-2020,1,https://fbref.com/en/matches/ff7eda21/Arsenal-Burnley-August-17-2019-Premier-League,1876.9,1696.79,1.3,5.5,10.0,1,1,81.77,75.23,2,0,0.85,0,1,50.3,22.0,2.1,0.93,80.42,68.31,0.6384,0.1557,0.2059,3,0,1.2,-0.5,3.0,3.0,1.0,3.0,0.0,0.0,1,1,3.0,3.0,3.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,2.1,2.1
12,2983827576,2.0,Sat,2019-08-17,15:00,Norwich City,1.7,3,Newcastle Utd,0.9,1,Premier-League,2019-2020,1,https://fbref.com/en/matches/3ea63f4b/Norwich-City-Newcastle-United-August-17-2019-Premier-League,1633.76,1714.14,2.3,3.4,3.1,1,-1,72.07,74.92,0,0,0.93,0,0,43.0,31.6,1.26,1.14,63.1,70.04,0.3873,0.3297,0.283,3,0,1.3,0.1,0.0,0.0,1.0,0.0,4.0,1.0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,-0.4,-0.4
13,6183001414,2.0,Sat,2019-08-17,15:00,Aston Villa,2.0,1,Bournemouth,1.6,2,Premier-League,2019-2020,-1,https://fbref.com/en/matches/7ad0ed82/Aston-Villa-Bournemouth-August-17-2019-Premier-League,1614.18,1691.47,2.55,3.25,2.87,1,-1,72.92,75.46,0,0,0.92,0,0,42.8,26.7,1.48,1.37,64.1,69.08,0.397,0.347,0.256,0,3,-1.0,0.4,0.0,1.0,1.0,1.0,3.0,1.0,1,1,0.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,-0.3,-0.3
14,8312687284,2.0,Sat,2019-08-17,15:00,Brighton,2.0,1,West Ham,0.8,1,Premier-League,2019-2020,0,https://fbref.com/en/matches/894d0ca5/Brighton-and-Hove-Albion-West-Ham-United-August-17-2019-Premier-League,1640.48,1727.7,1.72,3.8,4.75,1,-1,75.29,76.71,0,0,0.86,0,0,38.0,26.9,1.39,1.27,64.36,69.09,0.3963,0.3373,0.2665,1,1,-1.0,0.2,3.0,0.0,3.0,0.0,0.0,5.0,1,1,3.0,0.0,3.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,2.2,-1.1,-1.1
15,2784712257,2.0,Sat,2019-08-17,15:00,Southampton,1.9,1,Liverpool,1.3,2,Premier-League,2019-2020,-1,https://fbref.com/en/matches/b2a48847/Southampton-Liverpool-August-17-2019-Premier-League,1667.23,2051.7,2.25,3.3,3.3,1,-1,75.29,84.63,0,4,0.93,0,-1,29.8,47.3,0.96,2.32,67.97,92.4,0.14,0.6734,0.1866,0,3,-0.9,0.7,0.0,3.0,0.0,4.0,3.0,1.0,1,1,0.0,3.0,0.0,3.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2,-1.2,2.2,2.2
16,9532262396,2.0,Sat,2019-08-17,15:00,Everton,0.7,1,Watford,1.2,0,Premier-League,2019-2020,1,https://fbref.com/en/matches/f35c8c3a/Everton-Watford-August-17-2019-Premier-League,1775.0,1669.66,6.5,4.75,1.44,-1,1,80.72,76.21,1,0,0.89,0,1,29.5,29.7,1.83,0.9,79.14,66.14,0.589,0.1792,0.2318,3,0,0.3,-1.2,1.0,0.0,0.0,0.0,0.0,3.0,1,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1,-1.1,-0.7,-0.7
7426,5119629992,1.0,Sat,2019-08-17,15:30,Wolfsburg,1.0,2,Köln,1.2,1,Bundesliga,2019-2020,1,https://fbref.com/en/matches/8ba606b2/Wolfsburg-Koln-August-17-2019-Bundesliga,1707.85,1571.93,1.2,7.0,13.0,1,1,77.5,75.64,0,0,0.96,0,0,31.0,27.2,1.69,0.88,70.78,62.36,0.5561,0.1917,0.2521,3,0,1.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
