Game ID,Wk,Day,Date,Time,Home,xG Home,G Home,Away,xG Away,G Away,League,Season,Score,Match Link
353,32.0,Sun,2020-07-12,21:45,Napoli,2.0,2,Milan,1.3,2,Serie-A,2019-2020,0,https://fbref.com/en/matches/fcd04483/Napoli-Milan-July-12-2020-Serie-A
354,32.0,Mon,2020-07-13,21:45,Inter,2.3,3,Torino,1.5,1,Serie-A,2019-2020,1,https://fbref.com/en/matches/add6aa58/Internazionale-Torino-July-13-2020-Serie-A
356,33.0,Tue,2020-07-14,21:45,Atalanta,1.8,6,Brescia,1.0,2,Serie-A,2019-2020,1,https://fbref.com/en/matches/8f6f39fd/Atalanta-Brescia-July-14-2020-Serie-A
357,33.0,Wed,2020-07-15,19:30,Sampdoria,1.4,3,Cagliari,0.6,0,Serie-A,2019-2020,1,https://fbref.com/en/matches/11ba6feb/Sampdoria-Cagliari-July-15-2020-Serie-A
358,33.0,Wed,2020-07-15,19:30,Bologna,0.7,1,Napoli,0.6,1,Serie-A,2019-2020,0,https://fbref.com/en/matches/608ba7e4/Bologna-Napoli-July-15-2020-Serie-A
359,33.0,Wed,2020-07-15,19:30,Milan,2.3,3,Parma,1.0,1,Serie-A,2019-2020,1,https://fbref.com/en/matches/85ebe97d/Milan-Parma-July-15-2020-Serie-A
360,33.0,Wed,2020-07-15,21:45,Udinese,1.2,0,Lazio,0.8,0,Serie-A,2019-2020,0,https://fbref.com/en/matches/3dd32d74/Udinese-Lazio-July-15-2020-Serie-A
361,33.0,Wed,2020-07-15,21:45,Sassuolo,2.5,3,Juventus,2.6,3,Serie-A,2019-2020,0,https://fbref.com/en/matches/4215369c/Sassuolo-Juventus-July-15-2020-Serie-A
362,33.0,Wed,2020-07-15,21:45,Roma,2.3,2,Hellas Verona,1.1,1,Serie-A,2019-2020,1,https://fbref.com/en/matches/6e569080/Roma-Hellas-Verona-July-15-2020-Serie-A
363,33.0,Wed,2020-07-15,21:45,Lecce,0.6,1,Fiorentina,2.2,3,Serie-A,2019-2020,-1,https://fbref.com/en/matches/d39cb4e3/Lecce-Fiorentina-July-15-2020-Serie-A
364,33.0,Thu,2020-07-16,19:30,Torino,1.0,3,Genoa,1.0,0,Serie-A,2019-2020,1,https://fbref.com/en/matches/ca532f16/Torino-Genoa-July-16-2020-Serie-A
365,33.0,Thu,2020-07-16,21:45,SPAL,0.8,0,Inter,2.2,4,Serie-A,2019-2020,-1,https://fbref.com/en/matches/328d9e11/SPAL-Internazionale-July-16-2020-Serie-A
367,34.0,Sat,2020-07-18,17:15,Hellas Verona,0.9,1,Atalanta,1.7,1,Serie-A,2019-2020,0,https://fbref.com/en/matches/05650a7d/Hellas-Verona-Atalanta-July-18-2020-Serie-A
368,34.0,Sat,2020-07-18,19:30,Cagliari,0.4,1,Sassuolo,0.5,1,Serie-A,2019-2020,0,https://fbref.com/en/matches/95476842/Cagliari-Sassuolo-July-18-2020-Serie-A
369,34.0,Sat,2020-07-18,21:45,Milan,2.4,5,Bologna,0.5,1,Serie-A,2019-2020,1,https://fbref.com/en/matches/069123b2/Milan-Bologna-July-18-2020-Serie-A
370,34.0,Sun,2020-07-19,17:15,Parma,1.2,2,Sampdoria,2.0,3,Serie-A,2019-2020,-1,https://fbref.com/en/matches/71c493e6/Parma-Sampdoria-July-19-2020-Serie-A
371,34.0,Sun,2020-07-19,19:30,Genoa,0.4,2,Lecce,1.8,1,Serie-A,2019-2020,1,https://fbref.com/en/matches/27ba435a/Genoa-Lecce-July-19-2020-Serie-A
372,34.0,Sun,2020-07-19,19:30,Napoli,1.3,2,Udinese,0.8,1,Serie-A,2019-2020,1,https://fbref.com/en/matches/6ed7c7da/Napoli-Udinese-July-19-2020-Serie-A
373,34.0,Sun,2020-07-19,19:30,Fiorentina,1.3,2,Torino,0.5,0,Serie-A,2019-2020,1,https://fbref.com/en/matches/705f5fe5/Fiorentina-Torino-July-19-2020-Serie-A
374,34.0,Sun,2020-07-19,19:30,Brescia,1.3,2,SPAL,1.7,1,Serie-A,2019-2020,1,https://fbref.com/en/matches/d2bd21de/Brescia-SPAL-July-19-2020-Serie-A
375,34.0,Sun,2020-07-19,21:45,Roma,1.2,2,Inter,1.5,2,Serie-A,2019-2020,0,https://fbref.com/en/matches/e128fda4/Roma-Internazionale-July-19-2020-Serie-A
376,34.0,Mon,2020-07-20,21:45,Juventus,3.3,2,Lazio,1.4,1,Serie-A,2019-2020,1,https://fbref.com/en/matches/588b69d5/Juventus-Lazio-July-20-2020-Serie-A
378,35.0,Tue,2020-07-21,19:30,Atalanta,1.5,1,Bologna,0.5,0,Serie-A,2019-2020,1,https://fbref.com/en/matches/6d15b9b8/Atalanta-Bologna-July-21-2020-Serie-A
379,35.0,Tue,2020-07-21,21:45,Sassuolo,1.2,1,Milan,2.3,2,Serie-A,2019-2020,-1,https://fbref.com/en/matches/d5ac1520/Sassuolo-Milan-July-21-2020-Serie-A
380,35.0,Wed,2020-07-22,19:30,Parma,2.0,2,Napoli,1.6,1,Serie-A,2019-2020,1,https://fbref.com/en/matches/859ed9c8/Parma-Napoli-July-22-2020-Serie-A
381,35.0,Wed,2020-07-22,21:45,Sampdoria,1.1,1,Genoa,1.1,2,Serie-A,2019-2020,-1,https://fbref.com/en/matches/4f400c38/Sampdoria-Genoa-July-22-2020-Serie-A
382,35.0,Wed,2020-07-22,21:45,Torino,0.8,1,Hellas Verona,1.4,1,Serie-A,2019-2020,0,https://fbref.com/en/matches/a97c607e/Torino-Hellas-Verona-July-22-2020-Serie-A
383,35.0,Wed,2020-07-22,21:45,Inter,2.4,0,Fiorentina,1.0,0,Serie-A,2019-2020,0,https://fbref.com/en/matches/ab64eb44/Internazionale-Fiorentina-July-22-2020-Serie-A
384,35.0,Wed,2020-07-22,21:45,Lecce,2.7,3,Brescia,1.0,1,Serie-A,2019-2020,1,https://fbref.com/en/matches/c7b804c0/Lecce-Brescia-July-22-2020-Serie-A
385,35.0,Wed,2020-07-22,21:45,SPAL,0.8,1,Roma,1.6,6,Serie-A,2019-2020,-1,https://fbref.com/en/matches/f525b6e8/SPAL-Roma-July-22-2020-Serie-A
386,35.0,Thu,2020-07-23,19:30,Udinese,1.1,2,Juventus,0.7,1,Serie-A,2019-2020,1,https://fbref.com/en/matches/bd1039f3/Udinese-Juventus-July-23-2020-Serie-A
387,35.0,Thu,2020-07-23,21:45,Lazio,1.6,2,Cagliari,0.6,1,Serie-A,2019-2020,1,https://fbref.com/en/matches/ac261955/Lazio-Cagliari-July-23-2020-Serie-A
